gender,SeniorCitizen,Partner,Dependents,tenure,tenure_scaled,PhoneService,MultipleLines,Internet_DSL,Internet_Fiber,Internet_No,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_month,Contract_1year,Contract_2year,PaperlessBilling,PM_electronic_check,PM_mailed_check,PM_bank_transfer,PM_credit_card,MonthlyCharges,MonthlyCharges_scaled,TotalCharges,TotalCharges_scaled,Churn
0,0,1,1,69,0.9583333333,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,113.25,0.9452736318,7895.15,0.9090767778,0
0,0,0,0,52,0.7222222222,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20.65,0.02388059701,1022.95,0.1177862472,0
1,0,0,1,71,0.9861111111,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,106.7,0.8800995025,7382.25,0.8500195744,0
0,0,1,1,10,0.1388888889,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,55.2,0.3676616915,528.35,0.06083617354,1
0,0,0,0,21,0.2916666667,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,90.05,0.7144278607,1862.9,0.2145011975,0
1,1,0,0,1,0.01388888889,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,39.65,0.2129353234,39.65,0.004565447679,1
1,0,1,0,12,0.1666666667,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19.8,0.01542288557,202.25,0.02328781319,0
1,0,0,0,1,0.01388888889,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.15,0.01890547264,20.15,0.002320145542,1
0,0,1,0,58,0.8055555556,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,59.9,0.4144278607,3505.1,0.4035901805,0
1,0,1,1,49,0.6805555556,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,59.6,0.4114427861,2970.3,0.3420113301,0
0,0,0,0,30,0.4166666667,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,55.3,0.3686567164,1530.6,0.1762389462,0
1,0,1,1,47,0.6527777778,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,99.35,0.8069651741,4749.15,0.5468346997,1
1,0,1,1,1,0.01388888889,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,30.2,0.1189054726,30.2,0.00347733972,1
1,0,1,0,72,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,90.25,0.7164179104,6369.45,0.7334020357,0
0,0,0,1,17,0.2361111111,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,64.7,0.4621890547,1093.1,0.1258635777,1
0,1,1,0,71,0.9861111111,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,96.35,0.7771144279,6766.95,0.7791716562,0
1,1,1,0,2,0.02777777778,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,95.5,0.7686567164,181.65,0.02091585298,0
0,0,1,1,27,0.375,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,66.15,0.4766169154,1874.45,0.2158311072,0
1,0,0,0,1,0.01388888889,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,20.2,0.01940298507,20.2,0.002325902727,0
1,1,0,0,1,0.01388888889,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,45.25,0.2686567164,45.25,0.005210252395,0
0,0,1,1,72,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,99.9,0.8124378109,7251.7,0.8349875645,0
1,0,0,0,5,0.06944444444,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,69.7,0.5119402985,316.9,0.03648903832,1
0,0,0,0,46,0.6388888889,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,74.8,0.5626865672,3548.3,0.4085643884,0
1,0,0,0,34,0.4722222222,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,106.35,0.8766169154,3549.25,0.4086737749,1
0,0,0,0,11,0.1527777778,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,97.85,0.792039801,1105.4,0.1272798452,1
1,0,1,1,10,0.1388888889,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,49.55,0.3114427861,475.7,0.05477385777,0
0,0,1,1,70,0.9722222222,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,69.2,0.5069651741,4872.35,0.5610204035,0
0,0,1,1,17,0.2361111111,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20.75,0.02487562189,418.25,0.04815885225,0
0,0,0,0,63,0.875,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,79.85,0.6129353234,4861.45,0.5597653371,0
0,0,1,0,13,0.1805555556,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,76.2,0.5766169154,981.45,0.1130077837,0
0,0,0,0,49,0.6805555556,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,84.5,0.6592039801,3906.7,0.4498318902,0
1,0,0,0,2,0.02777777778,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,49.25,0.3084577114,97,0.01116893884,0
0,0,0,0,2,0.02777777778,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,80.65,0.6208955224,144.15,0.01659796426,1
1,0,0,0,52,0.7222222222,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,79.75,0.6119402985,4217.8,0.4856530951,0
0,0,1,1,69,0.9583333333,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,64.15,0.4567164179,4254.1,0.4898328113,0
0,1,0,0,43,0.5972222222,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,90.25,0.7164179104,3838.75,0.4420078758,0
0,0,0,0,15,0.2083333333,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,99.1,0.8044776119,1426.4,0.1642409727,1
0,1,1,0,25,0.3472222222,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,69.5,0.5099502488,1752.65,0.2018066046,0
0,1,1,0,8,0.1111111111,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,80.65,0.6208955224,633.3,0.07292050479,1
0,1,1,1,60,0.8333333333,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,74.85,0.5631840796,4456.35,0.5131206245,0
1,1,0,0,18,0.25,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,95.45,0.768159204,1752.55,0.2017950903,1
0,0,1,1,63,0.875,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,99.65,0.8099502488,6311.2,0.7266949153,0
1,1,1,1,66,0.9166666667,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,108.45,0.8975124378,7076.35,0.8147971168,0
0,0,1,1,34,0.4722222222,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,24.95,0.06666666667,894.3,0.1029730103,0
0,0,0,0,72,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,107.5,0.8880597015,7853.7,0.9043040715,0
0,0,1,0,47,0.6527777778,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,100.5,0.8184079602,4707.1,0.5419929071,0
1,0,0,0,60,0.8333333333,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,89.9,0.7129353234,5450.7,0.627613762,0
1,0,1,0,72,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,42.1,0.2373134328,2962,0.3410556374,0
0,0,1,1,18,0.25,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,54.4,0.3597014925,957.1,0.1102040346,0
0,0,0,0,9,0.125,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,94.4,0.7577114428,857.25,0.09870693626,1
0,0,0,0,3,0.04166666667,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,75.3,0.5676616915,244.1,0.02810657701,0
1,0,1,0,47,0.6527777778,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,78.9,0.6034825871,3650.35,0.4203148029,0
0,0,0,0,31,0.4305555556,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,79.2,0.6064676617,2497.2,0.287536846,0
0,0,1,1,50,0.6944444444,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20.15,0.01890547264,930.9,0.1071872697,0
1,0,0,0,10,0.1388888889,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,79.85,0.6129353234,887.35,0.1021727616,0
1,0,0,0,1,0.01388888889,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,49.05,0.3064676617,49.05,0.005647798452,0
0,0,1,1,52,0.7222222222,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,20.4,0.02139303483,1090.65,0.1255814757,0
1,1,1,1,64,0.8888888889,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,111.6,0.9288557214,7099,0.8174051216,0
1,0,1,1,62,0.8611111111,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,24.25,0.05970149254,1424.6,0.1640337141,0
0,0,0,1,3,0.04166666667,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,64.5,0.460199005,177.4,0.02042649226,0
0,1,0,0,56,0.7777777778,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,110.5,0.9179104478,6139.5,0.7069247421,0
0,0,0,0,46,0.6388888889,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,55.65,0.3721393035,2688.85,0.309604136,0
0,0,1,1,8,0.1111111111,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,54.65,0.3621890547,482.25,0.05552804901,0
1,1,0,0,30,0.4166666667,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,74.75,0.5621890547,2111.3,0.2431028924,0
0,0,1,1,45,0.625,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,25.9,0.07611940299,1216.6,0.1400838246,0
0,0,0,1,1,0.01388888889,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,79.35,0.607960199,79.35,0.009136652542,1
0,0,1,1,11,0.1527777778,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,50.55,0.3213930348,565.35,0.06509649042,0
0,0,1,0,7,0.09722222222,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,75.15,0.5661691542,496.9,0.0572149042,1
0,0,0,0,42,0.5833333333,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,103.8,0.8512437811,4327.5,0.4982843589,0
0,0,1,0,49,0.6805555556,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,20.15,0.01890547264,973.35,0.1120751197,0
1,0,0,0,9,0.125,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,99.3,0.8064676617,918.75,0.1057882738,0
0,0,1,0,35,0.4861111111,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,62.15,0.4368159204,2215.45,0.2550951087,0
0,0,1,1,48,0.6666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20.65,0.02388059701,1057,0.1217068902,0
0,0,1,1,46,0.6388888889,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,19.95,0.01691542289,927.1,0.1067497237,0
1,0,1,0,29,0.4027777778,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,33.75,0.1542288557,1009.25,0.1162087786,0
1,0,1,1,30,0.4166666667,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,82.05,0.6348258706,2570.2,0.295942336,0
1,1,0,0,1,0.01388888889,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,74.7,0.5616915423,74.7,0.00860123434,0
1,0,1,1,66,0.9166666667,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,84,0.6542288557,5714.25,0.6579598839,0
0,0,0,0,65,0.9027777778,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,111.05,0.9233830846,7107,0.8183262712,0
1,0,0,0,72,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,100.9,0.8223880597,7459.05,0.8588626105,0
0,0,0,0,12,0.1666666667,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,78.95,0.6039800995,927.35,0.1067785096,1
1,0,1,1,71,0.9861111111,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,66.85,0.4835820896,4748.7,0.546782885,0
1,0,0,0,5,0.06944444444,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21.05,0.02786069652,113.85,0.01310911017,1
1,0,0,0,52,0.7222222222,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,0.02736318408,1107.2,0.1274871039,0
0,1,1,0,25,0.3472222222,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,98.5,0.7985074627,2514.5,0.289528832,1
1,0,0,0,1,0.01388888889,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.2,0.01940298507,20.2,0.002325902727,0
0,0,1,1,1,0.01388888889,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,19.45,0.01194029851,19.45,0.002239544952,0
1,0,0,0,38,0.5277777778,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,95,0.763681592,3605.6,0.4151621223,0
0,1,1,0,66,0.9166666667,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,45.55,0.271641791,3027.25,0.3485687638,0
1,0,1,0,68,0.9444444444,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,110,0.9129353234,7611.85,0.8764565678,1
1,0,0,0,5,0.06944444444,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,24.3,0.06019900498,100.2,0.01153739867,0
0,0,1,1,72,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,104.15,0.8547263682,7303.05,0.8409001934,0
0,0,0,0,32,0.4444444444,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,30.15,0.1184079602,927.65,0.1068130527,0
1,0,0,0,43,0.5972222222,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,94.35,0.7572139303,3921.3,0.4515129882,0
1,0,1,1,72,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19.4,0.01144278607,1363.25,0.1569696481,0
1,0,1,0,55,0.7638888889,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,96.75,0.7810945274,5238.9,0.6032263265,1
0,0,0,0,52,0.7222222222,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,57.95,0.3950248756,3042.25,0.3502959193,0
0,0,0,0,43,0.5972222222,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,91.65,0.7303482587,3954.1,0.4552897015,0
0,1,1,0,37,0.5138888889,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,76.5,0.57960199,2868.15,0.3302494013,1
0,0,1,1,64,0.8888888889,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,54.6,0.3616915423,3423.5,0.3941944547,0
1,0,1,1,3,0.04166666667,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,89.85,0.7124378109,248.4,0.02860169492,0
0,0,0,0,36,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,31.05,0.1273631841,1126.35,0.1296921057,0
0,0,1,1,10,0.1388888889,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,100.25,0.815920398,1064.65,0.1225877395,1
0,0,0,0,41,0.5694444444,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,20.65,0.02388059701,835.15,0.0961622605,0
1,0,1,1,27,0.375,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,85.2,0.6661691542,2151.6,0.2477431835,0
0,0,1,1,56,0.7777777778,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,99.8,0.8114427861,5515.45,0.6350693165,0
0,0,0,0,6,0.08333333333,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.7,0.02437810945,112.75,0.0129824521,0
1,0,0,0,3,0.04166666667,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,74.4,0.5587064677,229.55,0.02643123618,1
0,0,1,1,7,0.09722222222,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,50.7,0.3228855721,350.35,0.04034059506,0
0,0,1,1,4,0.05555555556,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.85,0.02587064677,62.9,0.007242538688,0
1,0,0,0,33,0.4583333333,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,88.95,0.7034825871,3027.65,0.3486148213,0
0,1,0,0,27,0.375,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,78.05,0.5950248756,2135.5,0.2458893699,1
1,0,1,0,72,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,23.55,0.05273631841,1723.95,0.1985019805,0
1,0,0,0,1,0.01388888889,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19.75,0.01492537313,19.75,0.002274088062,0
1,1,0,0,71,0.9861111111,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,56.45,0.3800995025,3985.35,0.4588879422,0
0,0,0,0,13,0.1805555556,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,85.95,0.6736318408,1215.65,0.1399744381,0
0,0,1,1,25,0.3472222222,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,58.6,0.4014925373,1502.65,0.1730206798,1
1,0,0,0,67,0.9305555556,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,50.55,0.3213930348,3260.1,0.3753799742,0
1,0,0,0,1,0.01388888889,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,35.45,0.1711442786,35.45,0.004081844141,1
1,0,0,0,2,0.02777777778,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,44.35,0.2597014925,81.25,0.009355425571,1
0,0,0,0,43,0.5972222222,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,25.7,0.07412935323,1188.2,0.1368137436,0
0,0,0,0,23,0.3194444444,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,75,0.5646766169,1778.5,0.2047830693,0
0,0,1,1,64,0.8888888889,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,20.2,0.01940298507,1277.75,0.1471248618,0
1,0,0,1,57,0.7916666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,19.6,0.01343283582,1170.55,0.1347814573,0
0,1,1,0,1,0.01388888889,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,70.45,0.5194029851,70.45,0.008111873618,1
0,1,1,1,72,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,88.05,0.6945273632,6425.65,0.7398731116,0
0,0,0,0,8,0.1111111111,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,71.15,0.5263681592,563.65,0.06490074613,1
0,0,1,0,61,0.8472222222,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,101.05,0.823880597,5971.25,0.6875518147,0
1,0,0,0,64,0.8888888889,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,84.3,0.6572139303,5289.05,0.609000783,0
1,1,1,0,71,0.9861111111,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,23.95,0.05671641791,1756.2,0.2022153648,0
0,0,1,1,65,0.9027777778,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,99.05,0.8039800995,6416.7,0.7388425755,0
1,0,0,0,3,0.04166666667,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19.6,0.01343283582,61.35,0.007064065954,0
1,0,0,0,1,0.01388888889,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,45.65,0.2726368159,45.65,0.005256309875,1
1,0,0,1,30,0.4166666667,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,64.5,0.460199005,1929.95,0.2222215825,0
1,0,1,1,15,0.2083333333,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,69.5,0.5099502488,1071.4,0.1233649595,0
0,0,1,1,8,0.1111111111,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,68.55,0.5004975124,564.35,0.06498134672,0
1,0,0,0,7,0.09722222222,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,95,0.763681592,655.5,0.07547669492,1
0,0,1,1,70,0.9722222222,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,108.15,0.8945273632,7930.55,0.9131528648,0
1,0,1,1,62,0.8611111111,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,86.1,0.6751243781,5215.25,0.600503178,0
0,0,1,1,6,0.08333333333,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19.7,0.0144278607,113.5,0.01306880987,0
0,0,1,1,14,0.1944444444,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,80.9,0.6233830846,1152.8,0.1327376566,0
0,0,0,0,22,0.3055555556,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,84.15,0.655721393,1821.95,0.209786063,0
1,0,1,1,22,0.3055555556,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20.15,0.01890547264,419.9,0.04834883935,0
1,0,1,1,16,0.2222222222,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,64.25,0.4577114428,1024,0.1179071481,0
1,0,0,0,10,0.1388888889,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,25.7,0.07412935323,251.6,0.02897015475,0
0,0,0,1,13,0.1805555556,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,56,0.3756218905,764.55,0.08803311533,0
0,0,1,0,20,0.2777777778,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,82.4,0.6383084577,1592.35,0.1833490696,1
0,0,0,0,2,0.02777777778,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,69.7,0.5119402985,135.2,0.01556742815,0
1,0,0,0,53,0.7361111111,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,73.9,0.5537313433,3958.25,0.4557675479,0
0,0,1,1,11,0.1527777778,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20.6,0.02338308458,233.9,0.02693211127,0
1,0,1,0,69,0.9583333333,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,19.9,0.01641791045,1363.45,0.1569926769,0
0,0,0,0,4,0.05555555556,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,70.9,0.523880597,273,0.03143422992,1
1,0,1,0,72,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,89.05,0.7044776119,6254.45,0.7201605103,0
1,1,1,0,58,0.8055555556,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,45.3,0.2691542289,2651.2,0.3052689757,1
0,0,1,1,16,0.2222222222,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20.4,0.02139303483,321.4,0.03700718497,0
1,0,1,0,43,0.5972222222,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,84.25,0.6567164179,3539.25,0.4075223379,0
